,Post Datetime,Post Title,Post URL,Neighborhood,Bedroom,SQFT,Price
0,2022-12-08 10:01,"Dreams are now a reality! Rentals in Brampton. 4 Beds, 4 Baths",https://toronto.craigslist.org/bra/apa/d/dreams-are-now-reality-rentals-in/7558566081.html,brampton-caledon,4,2750.0,3500
1,2022-12-08 10:01,"Undeniably Delightful! Rentals in Brampton. 2 Beds, 1 Baths",https://toronto.craigslist.org/bra/apa/d/undeniably-delightful-rentals-in/7558559787.html,brampton-caledon,2,,1900
2,2022-12-08 10:01,"Out with the old, in with the new! Rentals in Caledon. 1 Beds, 1 Baths",https://toronto.craigslist.org/bra/apa/d/out-with-the-old-in-with-the-new/7558558712.html,brampton-caledon,1,900.0,2500
3,2022-12-08 10:01,"Luxurious Living that's Affordable - Rentals in Brampton. 4 Beds, 3 Baths",https://toronto.craigslist.org/bra/apa/d/luxurious-living-thats-affordable/7558546890.html,brampton-caledon,4,1750.0,3200
4,2022-12-08 10:01,"Create Memories with your Family! Rentals in Brampton. 4 Beds, 3 Baths",https://toronto.craigslist.org/bra/apa/d/create-memories-with-your-family/7558545966.html,brampton-caledon,4,2250.0,3499
5,2022-12-08 10:01,"What's in it for you? Rentals in Brampton. 4 Beds, 3 Baths",https://toronto.craigslist.org/bra/apa/d/whats-in-it-for-you-rentals-in-brampton/7558545873.html,brampton-caledon,4,2250.0,3500
6,2022-12-08 10:00,"Where the heart is - Rentals in Brampton. 1 Beds, 1 Baths",https://toronto.craigslist.org/bra/apa/d/where-the-heart-is-rentals-in-brampton/7558515122.html,brampton-caledon,1,900.0,1900
7,2022-12-08 09:50,"Basement for rent in Brampton, Hwy 50  and Cottrelle",https://toronto.craigslist.org/bra/apa/d/brampton-north-basement-for-rent-in/7565998670.html,Brampton East,2,1000.0,1700
8,2022-12-07 11:34,Beautiful Townhouse for Rent in the highly desired neighborhood,https://toronto.craigslist.org/bra/apa/d/brampton-east-beautiful-townhouse-for/7565625634.html,Brampton,4,1500.0,3000
9,2022-12-07 10:04,4bed 2.5bath main/2nd flr unit in detached house garage parking,https://toronto.craigslist.org/bra/apa/d/brampton-north-4bed-25bath-main-2nd-flr/7565621516.html,Mountland Rd / Mcvean And Castlemore,4,2800.0,3700
10,2022-12-06 19:06,Basement for rent,https://toronto.craigslist.org/bra/apa/d/brampton-northwest-basement-for-rent/7565472033.html,"Brampton, Ontario",1,1000.0,1250
11,2022-12-06 17:02,Brand New Town house for lease,https://toronto.craigslist.org/bra/apa/d/brampton-brand-new-town-house-for-lease/7565426711.html,Brampton,3,1797.0,2999
12,2022-12-06 11:35,2 Bedroom Basement Apartment,https://toronto.craigslist.org/bra/apa/d/brampton-bedroom-basement-apartment/7565273206.html,Brampton,2,900.0,1800
13,2022-12-04 12:25,2 Bedroom LEGAL Basement Apartment for rent,https://toronto.craigslist.org/bra/apa/d/brampton-west-central-bedroom-legal/7564548908.html,BRAMPTON,2,1200.0,2100
14,2022-12-03 21:43,"Tell us what you think! Rentals in Brampton. 2 Beds, 2 Baths",https://toronto.craigslist.org/bra/apa/d/tell-us-what-you-think-rentals-in/7564419719.html,brampton-caledon,2,,2599
15,2022-12-03 21:27,"This is meant to be - Rentals in Brampton. 3 Beds, 3 Baths",https://toronto.craigslist.org/bra/apa/d/this-is-meant-to-be-rentals-in-brampton/7564419034.html,brampton-caledon,3,,2999
16,2022-11-30 15:02,Spacious Basement Apartment in Brampton,https://toronto.craigslist.org/bra/apa/d/brampton-spacious-basement-apartment-in/7563154718.html,Brampton,2,1100.0,1700
17,2022-11-29 14:03,"1-24 Intrigue Trail, Brampton, Ontario L6X 0W8",https://toronto.craigslist.org/bra/apa/d/brampton-southwest-24-intrigue-trail/7562735148.html,Brampton,4,1800.0,3395
18,2022-11-29 09:44,"1-145 Bruce Beer Drive, Brampton, Ontario L6V 3J2",https://toronto.craigslist.org/bra/apa/d/brampton-bruce-beer-drive-brampton/7562610730.html,Brampton,5,2000.0,2845
19,2022-11-28 21:30,"Very Captivating Rentals in Brampton. 2 Beds, 1 Baths",https://toronto.craigslist.org/bra/apa/d/very-captivating-rentals-in-brampton/7562511298.html,brampton-caledon,2,,1899
20,2022-11-28 21:19,"How would you rate this home? Rentals in Brampton. 2 Beds, 1 Baths",https://toronto.craigslist.org/bra/apa/d/how-would-you-rate-this-home-rentals-in/7562508394.html,brampton-caledon,2,,2800
21,2022-11-28 19:28,Rent,https://toronto.craigslist.org/bra/apa/d/brampton-rent/7562468604.html,Brampton,5,3100.0,4000
22,2022-11-28 15:07,"431 Oshawa Boulevard North, Oshawa, Ontario L1G 5T2",https://toronto.craigslist.org/bra/apa/d/oshawa-431-oshawa-boulevard-north/7562367845.html,Oshawa,4,1800.0,2995
23,2022-11-27 16:41,Basement Rental,https://toronto.craigslist.org/bra/apa/d/brampton-basement-rental/7562023869.html,Brampton/Caledon,2,1000.0,1800
24,2022-11-25 17:22,Basement for Rent,https://toronto.craigslist.org/bra/apa/d/mississauga-basement-for-rent/7561372106.html,Brampton,2,1100.0,1850
25,2022-11-25 13:53,Newly built one bedroom basement in Brampton,https://toronto.craigslist.org/bra/apa/d/brampton-newly-built-one-bedroom/7561290276.html,Brampton,1,,1600
26,2022-11-25 08:11,New One Bedroom With Walk-Out,https://toronto.craigslist.org/bra/apa/d/bolton-new-one-bedroom-with-walk-out/7561158863.html,Bolton,1,1000.0,2000
27,2022-11-25 07:58,Bolton 1 bedroom walk out basement,https://toronto.craigslist.org/bra/apa/d/bolton-bolton-bedroom-walk-out-basement/7559808143.html,Bolton,1,1000.0,2000
28,2022-11-24 16:27,"💥💥 Beautiful Freshly Painted, Spacious House For Lease in Brampton",https://toronto.craigslist.org/bra/apa/d/brampton-beautiful-freshly-painted/7561056003.html,"Credit Valley, Brampton",4,,3500
29,2022-11-24 13:17,"$1,800 – spacious updated 2 Bed / 1 Bath basement apartment in East Br",https://toronto.craigslist.org/bra/apa/d/brampton-spacious-updated-bed-bath/7561011203.html,Brampton,2,1500.0,1800
30,2022-11-22 12:45,Brand New Luxury Building Renting Now,https://toronto.craigslist.org/bra/apa/d/brampton-brand-new-luxury-building/7560344340.html,Brampton,2,863.0,2650
31,2022-11-21 18:11,"2602-335 Rathburn Road West, Mississauga, Ontario L5B 0C8",https://toronto.craigslist.org/bra/apa/d/mississauga-rathburn-road-west/7560114727.html,Mississauga,1,750.0,2245
32,2022-11-20 17:23,"1-12 Erie Street, North York, Ontario M6L 2P7",https://toronto.craigslist.org/bra/apa/d/north-york-12-erie-street-north-york/7559725199.html,North York,3,1200.0,2995
33,2022-11-19 12:19,1 BED BSMT APARTMENT -FULLY FURNISHED,https://toronto.craigslist.org/bra/apa/d/brampton-north-central-bed-bsmt/7559280567.html,BRAMALEA,1,,1500
34,2022-11-19 10:17,Newly Renovated 2 Bedroom Suite,https://toronto.craigslist.org/bra/apa/d/caledon-newly-renovated-bedroom-suite/7559225141.html,Brampton,1,900.0,1800
35,2022-11-19 08:09,House For Rent,https://toronto.craigslist.org/bra/apa/d/brampton-house-for-rent/7559186805.html,Brampton,4,2000.0,2900
36,2022-11-17 22:04,Two Bedrooms Legal Basement apartment,https://toronto.craigslist.org/bra/apa/d/brampton-two-bedrooms-legal-basement/7558735095.html,Near Go station Brampton,2,1000.0,1750
37,2022-11-17 12:57,"4-bedroom house for lease in Heart Lake West, Brampton",https://toronto.craigslist.org/bra/apa/d/brampton-west-central-bedroom-house-for/7558533433.html,"Heart Lake West, Brampton",4,2222.0,3200
38,2022-11-14 23:05,1 year old semi detached for rent in burlington!,https://toronto.craigslist.org/bra/apa/d/burlington-north-year-old-semi-detached/7557586362.html,Burlington,5,2000.0,3500
39,2022-11-10 22:34,1 BEDROOM/1 BATHROOM BASEMENT APARTMENT,https://toronto.craigslist.org/bra/apa/d/brampton-bedroom-bathroom-basement/7556083272.html,NORTHWEST BRAMPTON,1,,1500
40,2022-11-09 23:15,2 bedroom basement for rent,https://toronto.craigslist.org/bra/apa/d/brampton-bedroom-basement-for-rent/7555708565.html,Brampton,2,750.0,1700
41,2022-11-06 18:29,"1-67 Pannahill Drive, Brampton, Ontario L6P 3B3",https://toronto.craigslist.org/bra/apa/d/brampton-67-pannahill-drive-brampton/7554470252.html,Brampton,5,2500.0,3595
42,2022-11-04 15:32,"12 Royal Collection Way, Whitby, Ontario L1P 0P1",https://toronto.craigslist.org/bra/apa/d/whitby-southwest-12-royal-collection/7553683098.html,Whitby,3,1800.0,2695
43,2022-11-03 11:52,Basement Apartment for Rent in Brampton,https://toronto.craigslist.org/bra/apa/d/brampton-central-basement-apartment-for/7553145945.html,Brampton (Kennedy/Vodden,2,500.0,2000
44,2022-11-02 13:33,"2-24 Intrigue Trail, Brampton, Ontario L6X 0W8",https://toronto.craigslist.org/bra/apa/d/brampton-southwest-24-intrigue-trail/7552839019.html,Brampton,3,1000.0,1995
45,2022-11-01 18:41,House for rent in Brampton (McVean and Countryside),https://toronto.craigslist.org/bra/apa/d/brampton-north-house-for-rent-in/7552579796.html,Brampton,4,,4200
