,Post Datetime,Post Title,Post URL,Neighborhood,Bedroom,SQFT,Price
0,2022-12-09 20:39,Impressive 5 Bed 3 Bath Detached House with a Private Garage,https://toronto.craigslist.org/drh/apa/d/oshawa-east-impressive-bed-bath/7566649518.html,Oshawa,5,2700.0,5995
1,2022-12-09 13:57,One Bedroom Condo and Apartments Starting At $1400,https://toronto.craigslist.org/drh/apa/d/pickering-south-one-bedroom-condo-and/7562225535.html,Pickering,1,,1400
2,2022-12-09 00:05,2 Bedrooms Legal Basement for rent,https://toronto.craigslist.org/drh/apa/d/ajax-east-bedrooms-legal-basement-for/7566307920.html,Ajax,2,2500.0,2100
3,2022-12-08 16:12,BRAND NEW NEVER LIVED IN PICKERING TOWNHOME,https://toronto.craigslist.org/drh/apa/d/pickering-central-brand-new-never-lived/7564925478.html,Pickering,4,2000.0,2850
4,2022-12-08 15:22,Spacious First level walk out basement,https://toronto.craigslist.org/drh/apa/d/ajax-spacious-first-level-walk-out/7563030288.html,Toronto,1,1000.0,1699
5,2022-12-08 15:07,"1410 Stillmeadow Lane, Pickering, Ontario L1X 0N5",https://toronto.craigslist.org/drh/apa/d/pickering-central-1410-stillmeadow-lane/7566147060.html,Pickering,3,1500.0,2845
6,2022-12-08 10:42,Picturesque Newcastle - Bachelor Apartment for Rent,https://toronto.craigslist.org/drh/apa/d/newcastle-picturesque-newcastle/7557399417.html,45 King Ave West,1,450.0,1275
7,2022-12-07 10:22,Well maintain gorgeous house for Rent in  Ajax,https://toronto.craigslist.org/drh/apa/d/ajax-northwest-well-maintain-gorgeous/7565629678.html,Ajax,3,,3200
8,2022-12-06 17:49,"2-1212 Sun Valley Court, Oshawa, Ontario L1J 3N2",https://toronto.craigslist.org/drh/apa/d/oshawa-southwest-sun-valley-court/7565445139.html,Oshawa,1,850.0,1425
9,2022-12-06 12:48,Never lived in -End unit Townhouse RENTAL,https://toronto.craigslist.org/drh/apa/d/whitby-southwest-never-lived-in-end/7565310332.html,Whitby,3,1950.0,2700
10,2022-12-06 11:52,"137 Apple Blossom Boulevard, Bowmanville, Ontario L1C 4T8",https://toronto.craigslist.org/drh/apa/d/bowmanville-137-apple-blossom-boulevard/7565281197.html,Bowmanville,3,1500.0,2795
11,2022-12-05 21:45,3 BEDROOM BUNGALOW,https://toronto.craigslist.org/drh/apa/d/oshawa-bedroom-bungalow/7565130264.html,OSHAWA,3,1100.0,2200
12,2022-12-05 16:01,STUNNING 2 BDRM BSMNT FOR RENT NOW!,https://toronto.craigslist.org/drh/apa/d/oshawa-north-stunning-bdrm-bsmnt-for/7565009956.html,Oshawa,2,,1950
13,2022-12-04 16:40,APARTMENTS  FOR RENT,https://toronto.craigslist.org/drh/apa/d/oshawa-apartments-for-rent/7564650689.html,OSHAWA,1,475.0,1200
14,2022-12-03 22:28,One Bed Basement Apt (All Utilities included),https://toronto.craigslist.org/drh/apa/d/ajax-east-one-bed-basement-apt-all/7564427559.html,AJAX,1,,1400
15,2022-12-02 21:39,Beautiful duplex house for rent.,https://toronto.craigslist.org/drh/apa/d/oshawa-beautiful-duplex-house-for-rent/7564059928.html,Oshawa,1,1700.0,1800
16,2022-12-01 09:52,"46 Shawfield Way, Whitby, Ontario L1R 0N8",https://toronto.craigslist.org/drh/apa/d/whitby-central-46-shawfield-way-whitby/7563389905.html,Whitby,3,2700.0,2845
17,2022-11-27 16:53,"17 Swanston Crescent, Ajax, Ontario L1S 3J5",https://toronto.craigslist.org/drh/apa/d/ajax-17-swanston-crescent-ajax-ontario/7562028400.html,Ajax,4,1400.0,2995
18,2022-11-25 13:25,(Newly Renovated) 3+1BED+2 BATH DETACHED HOME IN OSHAWA,https://toronto.craigslist.org/drh/apa/d/oshawa-newly-renovated-31bed2-bath/7561270917.html,Oshawa,4,1850.0,3000
19,2022-11-25 12:34,Spacious 2 Bedroom Apartment for Rent All inclusive,https://toronto.craigslist.org/drh/apa/d/oshawa-spacious-bedroom-apartment-for/7561252604.html,Oshawa,2,1500.0,1900
20,2022-11-23 17:03,Renovated 1 Bedroom 945 Simcoe Street Oshawa,https://toronto.craigslist.org/drh/apa/d/oshawa-renovated-bedroom-945-simcoe/7560806631.html,Oshawa,1,600.0,1985
21,2022-11-20 08:59,Pickering 2 bedroom basement,https://toronto.craigslist.org/drh/apa/d/pickering-pickering-bedroom-basement/7559546177.html,Pickering Durham,2,900.0,1650
22,2022-11-19 02:49,SPACIOUS 2 BDRM UNIT -Central Oshawa. OPEN HOUSE SATURDAY 2-7pm!!,https://toronto.craigslist.org/drh/apa/d/oshawa-southeast-spacious-bdrm-unit/7559161537.html,Central Oshawa (Royal Street,2,1300.0,1850
23,2022-11-18 16:52,Studio for Rent,https://toronto.craigslist.org/drh/apa/d/oshawa-central-studio-for-rent/7559030186.html,Oshawa,,280.0,1400
24,2022-11-18 13:58,"2-1397 Rennie Street, Oshawa, Ontario L1K 0H1",https://toronto.craigslist.org/drh/apa/d/oshawa-east-rennie-street-oshawa/7558950234.html,Oshawa,2,850.0,1495
25,2022-11-17 17:25,Furnished 2 Bedroom Apartment for Rent Oshawa,https://toronto.craigslist.org/drh/apa/d/oshawa-east-furnished-bedroom-apartment/7558656533.html,Oshawa,2,,2500
26,2022-11-17 08:52,Pickering Bungalow for Lease,https://toronto.craigslist.org/drh/apa/d/ajax-pickering-bungalow-for-lease/7555752577.html,Greenwood,4,1800.0,3495
27,2022-11-16 16:47,"91 Elkington Crescent, Whitby, Ontario L1P 0L7",https://toronto.craigslist.org/drh/apa/d/whitby-southwest-91-elkington-crescent/7558252278.html,Whitby,3,1950.0,2845
28,2022-11-15 16:19,"2-117 Montrave Avenue, Oshawa, Ontario L1J 4R6",https://toronto.craigslist.org/drh/apa/d/oshawa-montrave-avenue-oshawa-ontario/7557851713.html,Oshawa,3,1600.0,2595
29,2022-11-15 15:01,"1-117 Montrave Avenue, Oshawa, Ontario L1J 4R6",https://toronto.craigslist.org/drh/apa/d/oshawa-montrave-avenue-oshawa-ontario/7557816762.html,Oshawa,1,900.0,1545
30,2022-11-14 13:19,"2-1361 Poprad Avenue, Pickering, Ontario L1W 1L2",https://toronto.craigslist.org/drh/apa/d/pickering-poprad-avenue-pickering/7557370755.html,Pickering,2,700.0,1595
31,2022-11-14 10:51,Pickering Village 2 Br Basement Apt Seperate Entrance Own Laundry,https://toronto.craigslist.org/drh/apa/d/ajax-pickering-village-br-basement-apt/7557286966.html,Ajax,2,900.0,1750
32,2022-11-11 06:49,Detached House for Rent,https://toronto.craigslist.org/drh/apa/d/oshawa-detached-house-for-rent/7556127192.html,Oshawa,4,111.0,3000
33,2022-11-08 08:55,New Legal 2br Basement Apt,https://toronto.craigslist.org/drh/apa/d/ajax-northwest-new-legal-2br-basement/7555000352.html,Ajax Central West,2,1000.0,1800
34,2022-11-07 09:48,"2-1705 Sherbrook Drive, Oshawa, Ontario L1K 2X3",https://toronto.craigslist.org/drh/apa/d/oshawa-sherbrook-drive-oshawa-ontario/7554618308.html,Oshawa,2,850.0,1645
35,2022-11-06 15:31,"Happy living in Ajax, near school, Shopping center, Park",https://toronto.craigslist.org/drh/apa/d/ajax-northwest-happy-living-in-ajax/7554410530.html,Ajax,2,,1950
36,2022-11-06 11:44,Brand New Modern 4 Beds 4 Bath Double Car Detached House For Rent,https://toronto.craigslist.org/drh/apa/d/pickering-central-brand-new-modern-beds/7554314024.html,Pickering,4,2200.0,3800
37,2022-11-05 12:00,"FOR LEASE: 841 REYTAN BLVD (APT. A), PICKERING",https://toronto.craigslist.org/drh/apa/d/pickering-for-lease-841-reytan-blvd-apt/7553951028.html,Pickering,1,,1800
38,2022-11-03 13:11,"Brand-New, Luxury Townhome + 4 Parking!",https://toronto.craigslist.org/drh/apa/d/courtice-brand-new-luxury-townhome/7553215738.html,Oshawa,3,1800.0,2625
39,2022-11-01 07:29,3 Bedroom New Freehold Townhouse in Whitby for Rent,https://toronto.craigslist.org/drh/apa/d/whitby-bedroom-new-freehold-townhouse/7552301039.html,Whitby,3,1900.0,3000
40,2022-10-31 11:45,"25 Medley Lane, Ajax, Ontario L1S 3P5",https://toronto.craigslist.org/drh/apa/d/ajax-25-medley-lane-ajax-ontario-l1s-3p5/7552010446.html,Ajax,3,1750.0,2695
41,2022-10-29 16:00,"2001-2550 Simcoe Street North, Oshawa, Ontario L1L 0R5",https://toronto.craigslist.org/drh/apa/d/oshawa-simcoe-street-north-oshawa/7551460982.html,Oshawa,1,550.0,1749
