,Post Datetime,Post Title,Post URL,Neighborhood,Bedroom,SQFT,Price
0,2022-12-10 20:12,Entire Furnished 3 Bedr House for Rent by Owner - Airbnb Listing,https://toronto.craigslist.org/mss/apa/d/burlington-entire-furnished-bedr-house/7566994498.html,Burlington,3,,3900
1,2022-12-10 09:58,2bed condo 2bath with parking by square one amazing amenities,https://toronto.craigslist.org/mss/apa/d/mississauga-2bed-condo-2bath-with/7557028598.html,3888 Duke Of York Blvd2,2,,2800
2,2022-12-10 09:15,Amazing 4 Bed 3 Bath Detached Home in East Credit,https://toronto.craigslist.org/mss/apa/d/mississauga-amazing-bed-bath-detached/7560853658.html,Mississauga,4,2000.0,5995
3,2022-12-10 09:15,Lovely 1 Bed + Den 1 Bath Condo with Stunning City Views,https://toronto.craigslist.org/mss/apa/d/mississauga-lovely-bed-den-bath-condo/7565057525.html,Lakeview,1,650.0,2895
4,2022-12-10 00:40,"New Large 2 Bedroom 2 Bathroom Condo with Parking, Utilities Included",https://toronto.craigslist.org/mss/apa/d/mississauga-new-large-bedroom-bathroom/7561618003.html,mississauga,2,1080.0,2500
5,2022-12-09 23:13,"It really is that easy! Rentals in Mississauga. 1 Beds, 1 Baths",https://toronto.craigslist.org/mss/apa/d/it-really-is-that-easy-rentals-in/7566681490.html,mississauga,1,,2580
6,2022-12-09 23:11,"Home, Family, Love - Rentals in Mississauga. 1 Beds, 1 Baths",https://toronto.craigslist.org/mss/apa/d/home-family-love-rentals-in-mississauga/7566681125.html,mississauga,1,730.0,2500
7,2022-12-09 21:24,"Ahh, the comfortable life... Rentals in London. 3 Beds, 1 Baths",https://toronto.craigslist.org/mss/apa/d/ahh-the-comfortable-life-rentals-in/7566660270.html,mississauga,3,,2599
8,2022-12-09 21:22,"This will definitely get your attention! Rentals in Brampton. 3 Beds, 3 Baths",https://toronto.craigslist.org/mss/apa/d/this-will-definitely-get-your-attention/7566659806.html,mississauga,3,,2700
9,2022-12-09 15:37,Large 1+1bed with 2 full baths and parking indoor pool,https://toronto.craigslist.org/mss/apa/d/mississauga-large-11bed-with-full-baths/7557024745.html,33 Elm Dr11,1,740.0,2500
10,2022-12-09 15:37,3bed house with indoor garage parking/ backyard,https://toronto.craigslist.org/mss/apa/d/mississauga-3bed-house-with-indoor/7565260682.html,Fairford Cres / Eglinton/Mavis,3,,3300
11,2022-12-09 13:22,"Condos, Houses, Townhouses For Rent",https://toronto.craigslist.org/mss/apa/d/mississauga-condos-houses-townhouses/7566479641.html,mississauga,2,,2600
12,2022-12-08 10:26,Brand new e2 condo 2bed with parking @ young/ eglinton,https://toronto.craigslist.org/mss/apa/d/toronto-brand-new-e2-condo-2bed-with/7566012792.html,39 Roehampton Ave21,2,,3480
13,2022-12-08 10:01,"Could this be the perfect match? Rentals in Mississauga. 5 Beds, 4 Baths",https://toronto.craigslist.org/mss/apa/d/could-this-be-the-perfect-match-rentals/7558560875.html,mississauga,5,3250.0,3800
14,2022-12-08 10:01,"You wont want to miss this! Rentals in Mississauga. 3 Beds, 4 Baths",https://toronto.craigslist.org/mss/apa/d/you-wont-want-to-miss-this-rentals-in/7558560265.html,mississauga,3,,3300
15,2022-12-08 10:01,"Come home to this - Rentals in Mississauga. 1 Beds, 2 Baths",https://toronto.craigslist.org/mss/apa/d/come-home-to-this-rentals-in/7558547397.html,mississauga,1,749.0,2550
16,2022-12-07 16:28,"Do you have high expectations? Rentals in Mississauga. 2 Beds, 2 Baths",https://toronto.craigslist.org/mss/apa/d/do-you-have-high-expectations-rentals/7562507409.html,mississauga,2,,1999
17,2022-12-07 15:23,"Lakeshore & Parklawn  Beautiful 2Bdrm Lake View Near Transit, Hwy",https://toronto.craigslist.org/mss/apa/d/etobicoke-lakeshore-parklawn-beautiful/7565775123.html,mississauga,2,850.0,3000
18,2022-12-07 15:18,"Park Lawn Lake Shore Blvd W  Upgraded 2Bdrm Open Balcony Near Lake,Ttc",https://toronto.craigslist.org/mss/apa/d/etobicoke-park-lawn-lake-shore-blvd/7565772701.html,mississauga,2,750.0,2800
19,2022-12-07 15:11,"Lakeshore Blvd W/Parklawn Road  Beautiful 1Bdrm Near Downtown, Ttc",https://toronto.craigslist.org/mss/apa/d/etobicoke-lakeshore-blvd-parklawn-road/7565769416.html,mississauga,1,550.0,2500
20,2022-12-07 13:01,Master room on second floor for rent,https://toronto.craigslist.org/mss/apa/d/mississauga-master-room-on-second-floor/7565706731.html,Missisauga,1,,1780
21,2022-12-07 11:52,Park Lawn & Lakeshore  Beautiful 1Bdrm 1Locker 1Parking Lake View,https://toronto.craigslist.org/mss/apa/d/etobicoke-park-lawn-lakeshore-beautiful/7565671658.html,mississauga,1,550.0,2500
22,2022-12-07 11:47,Lake Shore Blvd W/ Park Lawn  Stunning 1Bdrm 1Parking 1Locker Spaciou,https://toronto.craigslist.org/mss/apa/d/etobicoke-lake-shore-blvd-park-lawn/7565669283.html,mississauga,1,550.0,2450
23,2022-12-07 11:41,Parklawn / Lake Shore Blvd W  Beautiful 1Bdrm +Den 1Parking Huge Balco,https://toronto.craigslist.org/mss/apa/d/etobicoke-parklawn-lake-shore-blvd/7565666179.html,mississauga,1,650.0,2100
24,2022-12-07 11:37,Queensway/Mavis  Huge 2Bdrm Huge Basement Backyard 2Parking Side Patio,https://toronto.craigslist.org/mss/apa/d/mississauga-queensway-mavis-huge-2bdrm/7565664005.html,mississauga,2,1750.0,2450
25,2022-12-07 11:03,Burnhamthorpe/Living Arts  Beautiful 1Bdrm +Den 1Parking 1Locker,https://toronto.craigslist.org/mss/apa/d/mississauga-burnhamthorpe-living-arts/7565647381.html,mississauga,1,750.0,2650
26,2022-12-07 10:58,"Burnhamthorpe / Confederation  Spacious 1Bdrm 1Parking Near School,Sq1",https://toronto.craigslist.org/mss/apa/d/mississauga-burnhamthorpe-confederation/7565645049.html,mississauga,1,650.0,2400
27,2022-12-06 23:54,Renovated garage included big backyard,https://toronto.craigslist.org/mss/apa/d/mississauga-renovated-garage-included/7565539755.html,The Credit Woodland/Dundas MAIN FLOOR,3,,3700
28,2022-12-06 23:33,Very spacious unit parking included + den backyard included!,https://toronto.craigslist.org/mss/apa/d/mississauga-very-spacious-unit-parking/7565536089.html,The Credit Woodland/Dundas BASEMENT,2,,2300
29,2022-12-06 21:34,Feels modern parking & locker included partly furnished!,https://toronto.craigslist.org/mss/apa/d/mississauga-feels-modern-parking-locker/7565512819.html,80 Absolute Ave,2,,3000
30,2022-12-06 14:48,Condo for rent,https://toronto.craigslist.org/mss/apa/d/mississauga-condo-for-rent/7565368084.html,Mississauga,1,631.0,2550
31,2022-12-05 16:21,Parklawn & Legion Rd  Brand New Stunning 1Bdrm 1Parking 1Locker,https://toronto.craigslist.org/mss/apa/d/etobicoke-parklawn-legion-rd-brand-new/7564994116.html,mississauga,1,575.0,2350
