,Post Datetime,Post Title,Post URL,Neighborhood,Bedroom,SQFT,Price
0,2022-12-10 15:27,Beautiful/Modern 2bedroom/2 Bathroom Townhouse in Markham for Rental,https://toronto.craigslist.org/yrk/apa/d/markham-beautiful-modern-2bedroom/7566901305.html,Markham,2,,2600
1,2022-12-10 09:17,Furnished Condo 1 Bed 1 Bath at Yorkville Plaza,https://toronto.craigslist.org/yrk/apa/d/toronto-furnished-condo-bed-bath-at/7560175509.html,"Yorkville, Toronto",1,405.0,3795
2,2022-12-10 09:16,2 Bed 2 Bath Unfurnished Condo  with Spacious Balcony,https://toronto.craigslist.org/yrk/apa/d/don-mills-south-bed-bath-unfurnished/7563283125.html,"North York, Toronto",2,1160.0,3095
3,2022-12-09 20:55,Spacious 4 Bed 4 Bath Furnished House in North York,https://toronto.craigslist.org/yrk/apa/d/central-toronto-spacious-bed-bath/7566653352.html,Toronto,4,5000.0,19995
4,2022-12-08 15:29,"1-126 Valonia Drive, Brampton, Ontario L6V 4J8",https://toronto.craigslist.org/yrk/apa/d/brampton-valonia-drive-brampton-ontario/7566157642.html,Brampton,4,1500.0,2995
5,2022-12-08 11:09,Beautiful 4Bedroom House At Hwy 7 & Mccowan!,https://toronto.craigslist.org/yrk/apa/d/markham-beautiful-4bedroom-house-at-hwy/7566030785.html,39 Robinson St,4,,3800
6,2022-12-08 10:00,"The Perfect Home - Rentals in Pickering. 3 Beds, 1 Baths",https://toronto.craigslist.org/yrk/apa/d/the-perfect-home-rentals-in-pickering/7558514612.html,york region,3,,2300
7,2022-12-08 10:00,"How would you rate this home? Rentals in Vaughan. 4 Beds, 3 Baths",https://toronto.craigslist.org/yrk/apa/d/how-would-you-rate-this-home-rentals-in/7558513448.html,york region,4,2250.0,3600
8,2022-12-07 13:27,"59 Casabel Drive, Maple, Ontario L6A 3L6",https://toronto.craigslist.org/yrk/apa/d/maple-59-casabel-drive-maple-ontario/7565719601.html,Maple,2,1000.0,2095
9,2022-12-07 11:23,Keele St /Rutherford Rd  Stunning 3Bdrm Detached Home Spacious Basemen,https://toronto.craigslist.org/yrk/apa/d/maple-keele-st-rutherford-rd-stunning/7565639192.html,york region,3,,3000
10,2022-12-07 10:52,Weston & Major Mack  Beautiful 3Bdrm +Den 3Storey Townhouse Near Hwy,https://toronto.craigslist.org/yrk/apa/d/woodbridge-weston-major-mack-beautiful/7565642343.html,york region,3,2250.0,3500
11,2022-12-07 10:17,"Entire Town house at the MET 3 Bedroom, 2 Bathroom",https://toronto.craigslist.org/yrk/apa/d/concord-entire-town-house-at-the-met/7565627273.html,Vaughan Ontario,3,1400.0,3100
12,2022-12-06 13:28,"28 Mount Pleasant Avenue, Whitby, Ontario L1N 0C8",https://toronto.craigslist.org/yrk/apa/d/whitby-28-mount-pleasant-avenue-whitby/7565329633.html,Whitby,4,2600.0,3445
13,2022-12-06 10:36,Dufferin & Rutherford Rd! Amazing 4Bedroom House!,https://toronto.craigslist.org/yrk/apa/d/thornhill-west-dufferin-rutherford-rd/7565246144.html,90 Daphnia Dr,4,,4100
14,2022-12-05 22:35,Basement apartment for rent,https://toronto.craigslist.org/yrk/apa/d/woodbridge-south-basement-apartment-for/7565140956.html,Vaughan,1,750.0,1750
15,2022-12-05 14:25,"2301-2550 Simcoe Street North, Oshawa, Ontario L1L 0R5",https://toronto.craigslist.org/yrk/apa/d/oshawa-simcoe-street-north-oshawa/7564965888.html,Oshawa,1,525.0,1645
16,2022-12-05 14:19,Keele/ Drummond  Beautiful Spacious 4Bdrm 2Storey Detached Near School,https://toronto.craigslist.org/yrk/apa/d/maple-keele-drummond-beautiful-spacious/7564963122.html,york region,4,,3300
17,2022-12-05 13:49,Weston Rd/Major Mackenzie  Beautiful 3Bdrm 2Storey Townhouse Open Conc,https://toronto.craigslist.org/yrk/apa/d/woodbridge-weston-rd-major-mackenzie/7564948135.html,york region,3,1750.0,3499
18,2022-12-04 17:41,2 bedrooms +2 baths for rent at Yonge St. Richmond Hill,https://toronto.craigslist.org/yrk/apa/d/richmond-hill-southwest-bedrooms-baths/7564670789.html,"Richmond Hill, ON",2,788.0,2800
19,2022-12-04 13:25,Bright 1 bedroom basement apartment,https://toronto.craigslist.org/yrk/apa/d/bright-bedroom-basement-apartment/7556534089.html,Markham,1,,1395
20,2022-12-04 05:36,"2 bed, 1  bath, 2500/m",https://toronto.craigslist.org/yrk/apa/d/north-york-bed-bath-2500/7564466171.html,North York,2,900.0,2500
21,2022-12-02 12:31,"42 Astley Avenue, Toronto, Ontario M4W 3B4",https://toronto.craigslist.org/yrk/apa/d/toronto-42-astley-avenue-toronto/7563845459.html,Toronto,1,850.0,3195
22,2022-12-02 11:30,"Entire detached 4 bed, 3 bath house",https://toronto.craigslist.org/yrk/apa/d/newmarket-entire-detached-bed-bath-house/7563815584.html,Newmarket,4,2380.0,3250
23,2022-12-01 16:58,"50 Forest Manor Road, North York, Ontario M2J 0E3",https://toronto.craigslist.org/yrk/apa/d/north-york-50-forest-manor-road-north/7563584842.html,North York,2,900.0,2899
24,2022-11-30 16:30,"scala tridel 1+1, 2 baths, 1 parking 1 locker condo for lease.",https://toronto.craigslist.org/yrk/apa/d/markham-northwest-scala-tridel-11-baths/7563193149.html,North York M2J 2A8,2,660.0,2600
25,2022-11-30 15:21,"7 Raithby Cresent, Ajax, Ontario, L1Z 0S2",https://toronto.craigslist.org/yrk/apa/d/ajax-east-raithby-cresent-ajax-ontario/7563163850.html,Ajax,4,2300.0,3245
26,2022-11-30 10:54,2 Bedroom Apt (Vaughan) Keele & Major Mackenzie,https://toronto.craigslist.org/yrk/apa/d/maple-bedroom-apt-vaughan-keele-major/7561582627.html,Maple,2,1100.0,2200
27,2022-11-29 17:54,Beautiful 4Bedroom Whole House At Bathurst & Davis!,https://toronto.craigslist.org/yrk/apa/d/newmarket-southwest-beautiful-4bedroom/7562835553.html,34 Mae Brooks Dr W,5,,3700
28,2022-11-29 12:41,A bachular apartment lower level of a house,https://toronto.craigslist.org/yrk/apa/d/willowdale-east-bachular-apartment/7562693986.html,North York Lcose to yonge and finch subway,1,,740
29,2022-11-28 22:36,Old fashioned 100% privacy,https://toronto.craigslist.org/yrk/apa/d/west-toronto-old-fashioned-100-privacy/7562523028.html,South York,2,400.0,890
30,2022-11-28 19:31,"1+ Bedroom, 1 Bathroom Basement Apartment",https://toronto.craigslist.org/yrk/apa/d/richmond-hill-bedroom-bathroom-basement/7562476829.html,Richmond Hill,1,900.0,2000
31,2022-11-28 16:13,Kipling/Hwy 7  Beautiful 3Bdrm Detached Home Utilities Included,https://toronto.craigslist.org/yrk/apa/d/woodbridge-south-kipling-hwy-beautiful/7562398701.html,york region,3,,2600
32,2022-11-28 16:08,Woodbridge Ave/Martin Grove  Lrg 1Bdrm Basement Utilities Included,https://toronto.craigslist.org/yrk/apa/d/woodbridge-south-woodbridge-ave-martin/7562396478.html,york region,1,,2000
