,Post Datetime,Post Title,Post URL,Neighborhood,Bedroom,SQFT,Price
0,2022-12-10 17:16,Spacious 2 bedroom Apartment with in suite laundry and on site manager,https://vancouver.craigslist.org/bnc/apa/d/new-westminster-spacious-bedroom/7562346063.html,"527 Carnarvon Street, New Westminster, BC",2,716.0,2745
1,2022-12-10 17:13,Brentwood Burnaby Resort Style One Bedroom Condo,https://vancouver.craigslist.org/bnc/apa/d/burnaby-brentwood-burnaby-resort-style/7560895987.html,4720 Lougheed Hwy,1,535.0,2400
2,2022-12-10 17:13,Two Bedroom Apartment at SFU Burnaby,https://vancouver.craigslist.org/bnc/apa/d/two-bedroom-apartment-at-sfu-burnaby/7566996095.html,9060 University Crescent,2,927.0,2600
3,2022-12-10 17:00,1 bedroom modern living at The Columbia New Westminster,https://vancouver.craigslist.org/bnc/apa/d/new-westminster-northeast-bedroom/7565102444.html,Brewery district,1,560.0,2200
4,2022-12-10 16:59,Rare huge FULLY FURNISHED 1 bedroom at Modello Metrotown,https://vancouver.craigslist.org/bnc/apa/d/burnaby-rare-huge-fully-furnished/7565812849.html,Metrotown,1,760.0,2800
5,2022-12-10 16:38,burnaby Edmonds 1beds+1bath condo,https://vancouver.craigslist.org/bnc/apa/d/burnaby-burnaby-edmonds-1beds1bath-condo/7565140929.html,burnaby/newwest,1,580.0,2300
6,2022-12-10 16:38,SFU: Large 2beds/2bath with beautiful view,https://vancouver.craigslist.org/bnc/apa/d/burnaby-sfu-large-2beds-2bath-with/7561953164.html,Burnaby,2,992.0,2980
7,2022-12-10 16:36,Located in Burnaby: 3 Bed + 2.5 Bath Recently Renovated Townhouse,https://vancouver.craigslist.org/bnc/apa/d/burnaby-located-in-burnaby-bed-25-bath/7565788827.html,burnaby/newwest,3,2695.0,4500
8,2022-12-10 16:32,3 Beds 2 Baths Townhouse,https://vancouver.craigslist.org/bnc/apa/d/burnaby-beds-baths-townhouse/7566985988.html,Burnaby,3,1200.0,3850
9,2022-12-10 16:24,Spacious 2 bedroom/in suite laundry/social room/games room,https://vancouver.craigslist.org/bnc/apa/d/new-westminster-spacious-bedroom-in/7564659444.html,burnaby/newwest,2,665.0,2655
10,2022-12-10 15:52,luxurious Two bedroom + Den APT at Metrotown (Station Square) for rent,https://vancouver.craigslist.org/bnc/apa/d/burnaby-luxurious-two-bedroom-den-apt/7564382532.html,Burnaby,2,1289.0,3800
11,2022-12-10 15:18,spacious Hotel style 3 bed 2 bath suite on garden level basement,https://vancouver.craigslist.org/bnc/apa/d/burnaby-spacious-hotel-style-bed-bath/7560302926.html,burnaby south,3,1416.0,3500
12,2022-12-10 15:16,"Spacious 1 Bed Suite,  Energy Efficient Appliances, Rooftop Deck",https://vancouver.craigslist.org/bnc/apa/d/new-westminster-spacious-bed-suite/7557793158.html,"527 Carnarvon Street, New Westminster, BC",1,622.0,2305
13,2022-12-10 15:02,Metrotown 2 bed 2 bath 1Parking Condo for Rent,https://vancouver.craigslist.org/bnc/apa/d/burnaby-metrotown-bed-bath-1parking/7566083603.html,Burnaby Metrotown Lane st,2,755.0,2850
14,2022-12-10 14:55,Beautiful 2 bed 1.5 bath plus Den Townhouse in Fraserview,https://vancouver.craigslist.org/bnc/apa/d/new-westminster-beautiful-bed-15-bath/7565148466.html,burnaby/newwest,2,1100.0,3000
15,2022-12-10 14:49,nice one bedroom suite fr rent (close to BCIT),https://vancouver.craigslist.org/bnc/apa/d/burnaby-nice-one-bedroom-suite-fr-rent/7563490571.html,Burnaby,1,450.0,1650
16,2022-12-10 14:40,7 bedrooms house for rent in Burnaby Metrotown,https://vancouver.craigslist.org/bnc/apa/d/burnaby-bedrooms-house-for-rent-in/7557872710.html,4575 RUMBLE STREET,7,3000.0,4800
17,2022-12-10 14:36,Brentwood Mall 1-br basement suite.Walk to Skytrain. ALL inclusive!!!,https://vancouver.craigslist.org/bnc/apa/d/burnaby-brentwood-mall-br-basement/7566948234.html,Burnaby,1,,1780
18,2022-12-10 14:30,Metrotown Modello 2Bed 2Bath+AC Condo for Rent,https://vancouver.craigslist.org/bnc/apa/d/burnaby-metrotown-modello-2bed-2bathac/7561085024.html,Metrotown,2,1260.0,3800
19,2022-12-10 14:18,Big and Beautiful 2 Bedroom Completely Renovated,https://vancouver.craigslist.org/bnc/apa/d/new-westminster-big-and-beautiful/7565821002.html,New Westminster,2,1000.0,2195
20,2022-12-10 14:04,One Bedroom Rental Homes at The City of Lougheed (MOVE IN NOW),https://vancouver.craigslist.org/bnc/apa/d/burnaby-one-bedroom-rental-homes-at-the/7566937245.html,Burnaby (Lougheed,1,630.0,2900
21,2022-12-10 14:02,Large 2 bedroom suite with in suite laundry,https://vancouver.craigslist.org/bnc/apa/d/new-westminster-large-bedroom-suite/7559318155.html,burnaby/newwest,2,665.0,2655
22,2022-12-10 13:55,Burnaby South 2 Bedroom South Facing Condo with EV parking For Rent,https://vancouver.craigslist.org/bnc/apa/d/burnaby-burnaby-south-bedroom-south/7566937268.html,Burnaby,2,848.0,2900
23,2022-12-10 13:53,Amazing Brentwood 2 Bedroom 2 Bath Condo for Rent,https://vancouver.craigslist.org/bnc/apa/d/burnaby-amazing-brentwood-bedroom-bath/7557009498.html,Burnaby,2,,3300
24,2022-12-10 13:47,Brentwood Park Brand New 1 Bed w/ 188sf Balcony @ Hillside West,https://vancouver.craigslist.org/bnc/apa/d/burnaby-brentwood-park-brand-new-bed/7559611881.html,Burnaby,1,535.0,2390
