,Post Datetime,Post Title,Post URL,Neighborhood,Bedroom,SQFT,Price
0,2022-12-10 17:21,2 bedroom in heart of Lynn Valley,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-bedroom-in-heart-of/7566998024.html,Lynn Valley,2,910.0,2500
1,2022-12-10 16:35,Located in North Vancouver - 2Bed+2Bath+Den Condo w/AC & Mountain View,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-located-in-north/7565112041.html,north shore,2,1100.0,3650
2,2022-12-10 16:35,Located in West Vancouver: 5Bed + 5Bath House w/City & Ocean View,https://vancouver.craigslist.org/nvn/apa/d/west-vancouver-located-in-west/7565107135.html,north shore,5,5001.0,7500
3,2022-12-10 15:20,Huge 3 bedroom 1 bath basement suite with high ceilings,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-northwest-central-huge/7566965991.html,North Vancouver,3,1300.0,3000
4,2022-12-10 15:18,Ocean Front Beautiful House,https://vancouver.craigslist.org/nvn/apa/d/west-vancouver-ocean-front-beautiful/7559358428.html,West Vancouver,3,3700.0,7000
5,2022-12-10 14:41,3 bedrooms ground level suite for rent in West Van,https://vancouver.craigslist.org/nvn/apa/d/west-vancouver-bedrooms-ground-level/7565029535.html,2338 Orchard Ln,3,2121.0,3800
6,2022-12-10 14:40,3 bedrooms ground level units for rent in West Van,https://vancouver.craigslist.org/nvn/apa/d/west-vancouver-bedrooms-ground-level/7564993705.html,2338 Orchard Ln,3,2121.0,3800
7,2022-12-10 13:58,West Vancouver Cedardale great family House for rent,https://vancouver.craigslist.org/nvn/apa/d/west-vancouver-west-vancouver-cedardale/7566938376.html,West Vancouver,5,4843.0,7000
8,2022-12-09 15:18,West Vancouver Cedardale great family House for rent,https://vancouver.craigslist.org/nvn/apa/d/west-vancouver-west-vancouver-cedardale/7566605930.html,West Vancouver,5,4843.0,7000
9,2022-12-10 13:42,5 Bedroom 5.5 Bathroom Ocean View Property For Rent,https://vancouver.craigslist.org/nvn/apa/d/west-vancouver-bedroom-55-bathroom/7557098779.html,north shore,5,4500.0,7100
10,2022-12-10 13:13,BRAND NEW Furnished One Bedroom Unit + Den!,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-brand-new-furnished-one/7560431080.html,"North Shore, North Vancouver, Lynn Creek",1,700.0,3295
11,2022-12-10 13:03,Central Lonsdale - Newer home 1Bedroom Basement Suite,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-central-lonsdale-newer/7559264981.html,North Vancouver - Lonsdale,1,515.0,1675
12,2022-12-10 13:00,Clean 2 bedrooms 2 bathrooms and a den apartment,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-clean-bedrooms/7565167246.html,North Vancouver,2,1000.0,3300
13,2022-12-10 12:48,"West Vancouver Home on a 33,000 SF Property with Sweeping DT Views",https://vancouver.craigslist.org/nvn/apa/d/west-vancouver-west-vancouver-home-on/7558259298.html,West Vancouver,3,2829.0,5500
14,2022-12-10 12:20,"$2,500 – Newly Renovated 1200 sq 2 Bed 1 Bath Garden Level Suite",https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-northwest-central-newly/7566898284.html,NORTH VANCOUVER,2,1200.0,2500
15,2022-12-10 12:14,Luxurious House - Stunning view - West Van,https://vancouver.craigslist.org/nvn/apa/d/west-vancouver-luxurious-house-stunning/7566895555.html,CHARTWELL DR WEST VANCOUVER,6,4864.0,7500
16,2022-12-10 12:13,Luxurious House - Stunning view - West Van,https://vancouver.craigslist.org/nvn/apa/d/west-vancouver-luxurious-house-stunning/7566895276.html,WEST VANCOUVER,6,4864.0,7500
17,2022-12-10 11:16,2BD + 2Bathroom on Marine Drive,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-southwest-2bd-2bathroom/7562560240.html,North Vancouver Pemberton Area,2,869.0,3195
18,2022-12-10 11:16,North Vancouver 2 Bedroom + BD 2 Bathroom,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-southwest-north/7565426153.html,North Vancouver Pemberton Height,2,870.0,3155
19,2022-12-10 10:55,Furnished 2 bedrooms 2 bathrooms and a den,https://vancouver.craigslist.org/nvn/apa/d/port-coquitlam-north-furnished-bedrooms/7566860862.html,North Vancouver,3,1000.0,3700
20,2022-12-10 10:52,Furnished 2 bedrooms 2 bathrooms and a den,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-furnished-bedrooms/7566859623.html,North Vancouver,3,1000.0,3700
21,2022-12-10 10:52,Furnished 2 bedrooms 2 bathrooms and a den,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-furnished-bedrooms/7566858728.html,North Vancouver,2,1000.0,3700
22,2022-12-10 10:45,Furnished 2 bedrooms 2 bathrooms and a den,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-furnished-bedrooms/7566856618.html,North Vancouver,2,1000.0,3700
23,2022-12-10 10:45,Furnished 2 bedrooms 2 bathrooms and a den,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-furnished-bedrooms/7566856573.html,North Vancouver,2,1000.0,3700
