,Post Datetime,Post Title,Post URL,Neighborhood,Bedroom,SQFT,Price
0,2022-12-10 17:24,Prosprise Realty -2 Bedrooms 1 bathrooms Suite for rent Ref: 1423,https://vancouver.craigslist.org/pml/apa/d/coquitlam-prosprise-realty-bedrooms/7566998917.html,strawline street Coquitlam (Burke Mountain,2,850.0,1850
1,2022-12-10 17:22,2bedroom suite,https://vancouver.craigslist.org/pml/apa/d/port-coquitlam-2bedroom-suite/7566998292.html,port coquitlam,2,,1800
2,2022-12-10 17:20,Prosprise Realty - Entire House in Delta for rent! Ref# 4663,https://vancouver.craigslist.org/pml/apa/d/delta-prosprise-realty-entire-house-in/7557526685.html,Delta,4,2000.0,2950
3,2022-12-10 17:20,Prosprise realty- 4 bed 3 bath whole house in white rock  Ref:1946,https://vancouver.craigslist.org/pml/apa/d/surrey-prosprise-realty-bed-bath-whole/7557603548.html,White Rock,4,2000.0,4500
4,2022-12-10 17:20,Prosprise Realty - Upper House 4 Bed  3 Bath for rent.  Ref# 9060U,https://vancouver.craigslist.org/pml/apa/d/surrey-northeast-prosprise-realty-upper/7563222884.html,Surrey,4,3100.0,3950
5,2022-12-10 17:13,Two bdrm suite beside new Sheffield park,https://vancouver.craigslist.org/pml/apa/d/coquitlam-two-bdrm-suite-beside-new/7564075371.html,Coquitlam,2,940.0,2000
6,2022-12-10 17:10,View house with A/C(upper two level)at Burke Mountain,https://vancouver.craigslist.org/pml/apa/d/coquitlam-view-house-with-cupper-two/7565706266.html,Coquitlam,4,2618.0,4600
7,2022-12-10 17:00,4 bedroom Luxury house by Como Lake Park Coquitlam,https://vancouver.craigslist.org/pml/apa/d/coquitlam-bedroom-luxury-house-by-como/7565077222.html,Coquitlam,4,4500.0,5200
8,2022-12-10 16:33,3 bds Basement Suite,https://vancouver.craigslist.org/pml/apa/d/port-moody-bds-basement-suite/7563110319.html,Port Moody-Ioco road,3,1700.0,2750
9,2022-12-10 15:50,"3 Bed + 2 Bath, 1117 Sq Ft",https://vancouver.craigslist.org/pml/apa/d/port-coquitlam-bed-bath-1117-sq-ft/7563647683.html,Coquitlam,3,1117.0,3300
10,2022-12-10 15:50,"2 Bed + 2 Bath, 1014 Sq Ft",https://vancouver.craigslist.org/pml/apa/d/coquitlam-bed-bath-1014-sq-ft/7565859370.html,Coquitlam,2,1014.0,3000
11,2022-12-10 15:24,"Large renovated 1 Bedroom apartment, heating & hot water included",https://vancouver.craigslist.org/pml/apa/d/chilliwack-large-renovated-bedroom/7566967167.html,Chilliwack,1,700.0,1250
12,2022-12-10 15:13,"100% smoke-free, Closet organizers, Water included",https://vancouver.craigslist.org/pml/apa/d/port-moody-100-smoke-free-closet/7563927871.html,"3370 Dewdney Trunk Rd., Port Moody , BC",1,634.0,2275
13,2022-12-10 15:11,Coquitlam Burke Mountain Spacious 2 Bedroom BSMT For Rent,https://vancouver.craigslist.org/pml/apa/d/port-coquitlam-north-coquitlam-burke/7566963089.html,Coquitlam,2,1000.0,2000
14,2022-12-08 12:54,Coquitlam Burke Mountain Spacious 2 Bedroom BSMT For Rent,https://vancouver.craigslist.org/pml/apa/d/port-coquitlam-north-coquitlam-burke/7566167943.html,Coquitlam,2,1000.0,2000
15,2022-12-10 15:09,Furnished 1 Bed 1 Bath Private Suite - Utilities Incl.,https://vancouver.craigslist.org/pml/apa/d/coquitlam-furnished-bed-bath-private/7566960128.html,Coquitlam,1,,1800
16,2022-12-10 15:04,with a Private Backyard,https://vancouver.craigslist.org/pml/apa/d/coquitlam-with-private-backyard/7566960658.html,Coquitlam,2,,2100
17,2022-12-10 14:52,2 bedrooms one bath basement suite,https://vancouver.craigslist.org/pml/apa/d/port-coquitlam-north-bedrooms-one-bath/7563096653.html,Westwood Plateau - Coquitlam,2,1000.0,1800
18,2022-12-10 14:32,"5 Bedroom, Top floor, Pet Friendly, Newly Renovated",https://vancouver.craigslist.org/pml/apa/d/port-coquitlam-bedroom-top-floor-pet/7566950560.html,Glenwood Area,5,2810.0,5500
19,2022-12-10 13:56,"Spacious Renovated 3 Bedroom, 1 Bathroom Lower Level House!",https://vancouver.craigslist.org/pml/apa/d/port-coquitlam-north-spacious-renovated/7566937583.html,"Lower-1669 Mallard Court, Coquitlam, BC",3,,2300
20,2022-12-10 13:48,Luxury 2 bedroom Sub Penthouse condo,https://vancouver.craigslist.org/pml/apa/d/coquitlam-luxury-bedroom-sub-penthouse/7563708903.html,Coquitlam Centre,2,1240.0,3200
21,2022-12-10 13:47,"3 Bedroom, 2 Bathrooms Basement Suite in a Nice, Quiet Neighbourhood!",https://vancouver.craigslist.org/pml/apa/d/port-coquitlam-north-bedroom-bathrooms/7559637716.html,"1623 Sundew Place, Coquitlam BC",3,,1950
22,2022-12-10 13:46,Coquitlam Brand New 2 Bed Condo w/ 182sf Balcony & Views @ Sydney,https://vancouver.craigslist.org/pml/apa/d/coquitlam-coquitlam-brand-new-bed-condo/7563472111.html,Coquitlam,2,840.0,3400
23,2022-12-10 13:41,2 Bedroom Basement,https://vancouver.craigslist.org/pml/apa/d/coquitlam-north-bedroom-basement/7566931047.html,Coquitlam,2,,1750
24,2022-12-10 13:38,3br - 2200ft2 - Beautiful 3 Acre Property with Large Rancher (Please R,https://vancouver.craigslist.org/pml/apa/d/maple-ridge-3br-ft2-beautiful-acre/7565764494.html,Maple Ridge,3,2200.0,3500
25,2022-12-10 13:28,"Private balconies, 24 hour onsite management, Bike storage",https://vancouver.craigslist.org/pml/apa/d/port-moody-private-balconies-24-hour/7566920808.html,tricities/pitt/maple,1,634.0,2275
26,2022-12-10 13:14,Spacious fully furnished close to Lougheed town Center/SFU,https://vancouver.craigslist.org/pml/apa/d/coquitlam-spacious-fully-furnished/7566921106.html,Coquitlam,2,1280.0,2600
27,2022-12-10 13:13,"Playground, Soaker Tub, 3 elevators",https://vancouver.craigslist.org/pml/apa/d/port-moody-playground-soaker-tub/7562884620.html,tricities/pitt/maple,1,634.0,2275
28,2022-12-10 12:06,Beautiful 1 bed 1 bath suite with super high ceilings,https://vancouver.craigslist.org/pml/apa/d/port-coquitlam-north-beautiful-bed-bath/7566035956.html,Coquitlam,1,,1650
29,2022-12-10 12:03,Prosprise realty- 1 bed 1 bath in White Rock. Ref:1946,https://vancouver.craigslist.org/pml/apa/d/surrey-prosprise-realty-bed-bath-in/7557601482.html,white rock,1,600.0,1300
30,2022-12-10 11:42,"Brand New ! 2 Bedroom Condo on Austin Ave.,  near Vancouver Golf Club.",https://vancouver.craigslist.org/pml/apa/d/coquitlam-brand-new-bedroom-condo-on/7561128630.html,Coquitlam West,2,840.0,2990
31,2022-12-10 11:35,"Walk to Douglas college, Coquitlam Center",https://vancouver.craigslist.org/pml/apa/d/coquitlam-walk-to-douglas-college/7564344184.html,Coquitlam Center,4,1500.0,3800
32,2022-12-10 11:18,MISSION BRAND NEW TOWNHOUSE FOR RENT,https://vancouver.craigslist.org/pml/apa/d/mission-mission-brand-new-townhouse-for/7565334647.html,Mission,3,1300.0,3000
33,2022-12-10 11:13,"Open-Concept, Playground, Ceiling Fan",https://vancouver.craigslist.org/pml/apa/d/port-moody-open-concept-playground/7566093385.html,"3370 Dewdney Trunk Rd., Port Moody , BC",1,634.0,2275
34,2022-12-10 10:52,Modern 2Bed+2Bath Apartment  (pet friendly),https://vancouver.craigslist.org/pml/apa/d/coquitlam-modern-2bed2bath-apartment/7563179932.html,Coquitlam,2,809.0,2750
35,2022-12-10 10:42,Vanpm.com 2Bed 1Bath Legal Basement Suite in a New House Coquitlam,https://vancouver.craigslist.org/pml/apa/d/coquitlam-vanpmcom-2bed-1bath-legal/7557753318.html,tricities/pitt/maple,2,953.0,1995
36,2022-12-10 10:36,"Courtyard, Quartz countertops, In-Unit Laundry",https://vancouver.craigslist.org/pml/apa/d/port-moody-courtyard-quartz-countertops/7566066526.html,"3370 Dewdney Trunk Rd., Port Moody , BC",2,902.0,2850
37,2022-12-10 10:29,Luxurious Single Home in Burke Mountain with View (Whole House),https://vancouver.craigslist.org/pml/apa/d/port-coquitlam-north-luxurious-single/7563471837.html,Coquitlam Burke Mountain,4,3300.0,5800
38,2022-12-10 10:28,"Corner Unit VIEW SUITE 2bed/2bath PATIO, BRAND NEW, lots of Ammenities",https://vancouver.craigslist.org/pml/apa/d/port-moody-corner-unit-view-suite-2bed/7566848318.html,Inlet Station SKY TRAIN STATION,2,1000.0,2800
39,2022-12-10 10:27,"Beautiful Condo with Views!  2 bed, 2 bath, Walk to Skytrain",https://vancouver.craigslist.org/pml/apa/d/port-moody-beautiful-condo-with-views/7565072352.html,Port Moody,2,902.0,2700
40,2022-12-10 10:27,3 Bed 2 Bath Renovated House,https://vancouver.craigslist.org/pml/apa/d/port-coquitlam-bed-bath-renovated-house/7565886250.html,Coast Meridian,3,2200.0,3500
41,2022-12-10 10:20,4 four bedroom house for rent,https://vancouver.craigslist.org/pml/apa/d/coquitlam-four-bedroom-house-for-rent/7556972858.html,Coquitlam westwood plateau,4,2600.0,4200
42,2022-12-10 10:10,Beautiful 2 Bedroom + 1 Bathroom House,https://vancouver.craigslist.org/pml/apa/d/coquitlam-beautiful-bedroom-bathroom/7561078481.html,Coquitlam,2,438.0,1800
