,Post Datetime,Post Title,Post URL,Neighborhood,Bedroom,SQFT,Price
0,2022-12-10 17:20,Prosprise Realty 4Bed 1.5Bath 1den house for rent！REF#16931,https://vancouver.craigslist.org/rds/apa/d/surrey-prosprise-realty-4bed-15bath/7564417749.html,surrey,2,2290.0,3500
1,2022-12-10 17:20,Ocean Front Penthouse w/rooftop patio,https://vancouver.craigslist.org/rds/apa/d/white-rock-ocean-front-penthouse/7563584732.html,White Rock,2,,4500
2,2022-12-10 17:16,"Stylish renovated apartments,",https://vancouver.craigslist.org/rds/apa/d/white-rock-stylish-renovated-apartments/7561026960.html,delta/surrey/langley,1,758.0,2650
3,2022-12-10 17:13,White Rock Luxury Home,https://vancouver.craigslist.org/rds/apa/d/surrey-white-rock-luxury-home/7561804345.html,13xx 160 Street,4,2550.0,4800
4,2022-12-10 17:04,New modern 2b/2b walkup suite,https://vancouver.craigslist.org/rds/apa/d/white-rock-new-modern-2b-2b-walkup-suite/7562046699.html,White Rock,2,1100.0,1850
5,2022-12-10 16:41,Brand new. Luxury 3 bed plus 1 Den 2.5 bath townhouse,https://vancouver.craigslist.org/rds/apa/d/surrey-brand-new-luxury-bed-plus-den-25/7566988245.html,Surrey,3,1400.0,3900
6,2022-12-10 16:38,South Surrey: 3br/2.5 baths townhouse,https://vancouver.craigslist.org/rds/apa/d/surrey-south-south-surrey-3br-25-baths/7564447008.html,Surrey,3,1470.0,3200
7,2022-12-10 16:36,Located in Langley: Beautiful Brand New Condo w/City and Mountain View,https://vancouver.craigslist.org/rds/apa/d/langley-located-in-langley-beautiful/7565113149.html,delta/surrey/langley,2,950.0,2600
8,2022-12-10 16:36,Located in Langley: Cozy Basement Suite - 2Bed + 1Bath,https://vancouver.craigslist.org/rds/apa/d/langley-located-in-langley-cozy/7565110527.html,delta/surrey/langley,2,720.0,1500
9,2022-12-10 16:30,"Telus high speed PureFibre Optic network, Elevators, Window coverings",https://vancouver.craigslist.org/rds/apa/d/langley-city-telus-high-speed-purefibre/7560332079.html,Close to Willowbrook Mall,2,920.0,1955
10,2022-12-10 16:28,"Huge property on desirable Cliff Drive, Delta",https://vancouver.craigslist.org/rds/apa/d/delta-southwest-huge-property-on/7566178297.html,Tsawwassen,4,3303.0,4300
11,2022-12-10 16:12,"2 bedroom, ground level suite",https://vancouver.craigslist.org/rds/apa/d/surrey-lower-west-bedroom-ground-level/7564572013.html,delta/surrey/langley,2,,1600
12,2022-12-10 15:52,one bedroom basement suite,https://vancouver.craigslist.org/rds/apa/d/langley-one-bedroom-basement-suite/7564425267.html,North Langley,1,720.0,1400
13,2022-12-10 15:47,"2BR Highrise Condo, Amenities, Surrey Central & King George Skytrains",https://vancouver.craigslist.org/rds/apa/d/vancouver-2br-highrise-condo-amenities/7564446939.html,"Downtown Surrey, Whalley, King George, Surrey Central",2,775.0,2300
14,2022-12-10 15:44,One bedroom basement suite 14475 74 ave,https://vancouver.craigslist.org/rds/apa/d/surrey-east-one-bedroom-basement-suite/7566972714.html,Surrey,1,,1250
15,2022-12-10 15:26,"Renovated 2 Bedroom SW Corner Suite, Washer/Dryer-in-Suite, Heat Incl.",https://vancouver.craigslist.org/rds/apa/d/langley-renovated-bedroom-sw-corner/7565304404.html,Langley,2,860.0,1898
16,2022-12-10 15:21,"Newly renovated suites, roof top patio and social room",https://vancouver.craigslist.org/rds/apa/d/white-rock-newly-renovated-suites-roof/7566966080.html,delta/surrey/langley,1,716.0,2195
17,2022-12-10 15:19,2 bedroom Apartment,https://vancouver.craigslist.org/rds/apa/d/surrey-bedroom-apartment/7563847376.html,delta/surrey/langley,2,,2400
18,2022-12-10 15:19,2 bedroom basement,https://vancouver.craigslist.org/rds/apa/d/surrey-upper-west-bedroom-basement/7566965520.html,Surrey,2,,1800
19,2022-12-10 15:18,"Mirrored closet doors, Stainless steel appliances, Brand new blinds",https://vancouver.craigslist.org/rds/apa/d/white-rock-mirrored-closet-doors/7566965321.html,delta/surrey/langley,1,716.0,2195
20,2022-12-10 15:10,"Secure building, Elevator (in one building), Well maintained grounds",https://vancouver.craigslist.org/rds/apa/d/white-rock-secure-building-elevator-in/7563078882.html,delta/surrey/langley,1,716.0,2195
21,2022-12-10 15:09,"Private, Modern 2Bed+Den, 2bath by the Ocean",https://vancouver.craigslist.org/rds/apa/d/tsawwassen-private-modern-2bedden-2bath/7564009305.html,Tsawwassen,2,880.0,2980
22,2022-12-10 15:09,Brand New Air-conditioned Townhome with Ocean View,https://vancouver.craigslist.org/rds/apa/d/tsawwassen-brand-new-air-conditioned/7556102924.html,Tsawwassen First Nation,3,1325.0,3600
23,2022-12-10 15:00,Whole House Rent - 4 bedroom + 3 bathroom,https://vancouver.craigslist.org/rds/apa/d/white-rock-whole-house-rent-bedroom/7564674807.html,White Rock,4,,4500
24,2022-12-10 14:52,2 bedroom suite,https://vancouver.craigslist.org/rds/apa/d/surrey-bedroom-suite/7566957122.html,Fraser heights,2,900.0,1850
25,2022-12-10 14:46,Brand new 4 bedroom townhouse for rent,https://vancouver.craigslist.org/rds/apa/d/surrey-brand-new-bedroom-townhouse-for/7566955229.html,Surrey,4,,3500
26,2022-12-10 14:46,Brand New 1 bed 1 bath suite in West Newton area,https://vancouver.craigslist.org/rds/apa/d/surrey-brand-new-bed-bath-suite-in-west/7556343862.html,delta/surrey/langley,1,500.0,1700
27,2022-12-10 14:43,1 bed 1 bath basement suite,https://vancouver.craigslist.org/rds/apa/d/surrey-bed-bath-basement-suite/7563970352.html,South Surrey,1,,1400
28,2022-12-10 14:33,Brand New House For Rent,https://vancouver.craigslist.org/rds/apa/d/surrey-northeast-brand-new-house-for/7566951104.html,Surrey BC,3,,3975
29,2022-12-10 14:26,"Private balconies, Brand new blinds, Secure building",https://vancouver.craigslist.org/rds/apa/d/white-rock-private-balconies-brand-new/7566948711.html,delta/surrey/langley,1,716.0,2195
30,2022-12-10 14:25,"On-site laundry facility, Well maintained grounds, Private balconies",https://vancouver.craigslist.org/rds/apa/d/white-rock-on-site-laundry-facility/7566948263.html,delta/surrey/langley,1,716.0,2195
31,2022-12-10 14:15,Like New 1 Bedroom 1 Bathroom Suite (Grandview Heights),https://vancouver.craigslist.org/rds/apa/d/surrey-like-new-bedroom-bathroom-suite/7561465595.html,South Surrey,1,,1500
32,2022-12-10 14:14,"White Rock Beautiful Apt 2br + den, South-East Facing Condo!",https://vancouver.craigslist.org/rds/apa/d/white-rock-white-rock-beautiful-apt-2br/7566944425.html,White Rock,2,1334.0,3200
33,2022-12-09 15:06,"White Rock Beautiful Apt 2br + den, South-East Facing Condo!",https://vancouver.craigslist.org/rds/apa/d/white-rock-white-rock-beautiful-apt-2br/7566601546.html,White Rock,2,1334.0,3200
34,2022-12-10 14:05,2 bed room suite,https://vancouver.craigslist.org/rds/apa/d/surrey-bed-room-suite/7565122840.html,Newton 124 at &64 ave,2,,1750
35,2022-12-10 14:04,A spacious junior 2 bedroom Unit in Surrey North,https://vancouver.craigslist.org/rds/apa/d/surrey-inner-northwest-spacious-junior/7566931512.html,Surrey North,2,900.0,2100
36,2022-12-10 13:58,Spacious 5 bedroom 5 bathroom home for rent,https://vancouver.craigslist.org/rds/apa/d/delta-northeast-spacious-bedroom/7560565972.html,North Delta,5,3056.0,5700
37,2022-12-10 13:56,"One and two bedroom suites, Games Room, Laundry facilities",https://vancouver.craigslist.org/rds/apa/d/langley-city-one-and-two-bedroom-suites/7557940324.html,Close to Willowbrook Mall,2,920.0,1955
38,2022-12-10 13:40,Fully Furnished 1br -0 Tsawwassen Springs - Available December 30th,https://vancouver.craigslist.org/rds/apa/d/delta-southwest-fully-furnished-1br/7566931775.html,Tsawwassen,1,650.0,2300
39,2022-12-10 13:34,- 2BR/1 Bath - Fully Furnished - Close to all amenities,https://vancouver.craigslist.org/rds/apa/d/surrey-upper-west-2br-bath-fully/7564630258.html,Surrey,2,850.0,1650
40,2022-12-10 13:20,Brand New Luxury 4 bedrooms townhouse,https://vancouver.craigslist.org/rds/apa/d/surrey-brand-new-luxury-bedrooms/7565855623.html,Surrey,4,2066.0,3300
41,2022-12-10 13:14,Newly renovated 1 bedroom for rent,https://vancouver.craigslist.org/rds/apa/d/surrey-newly-renovated-bedroom-for-rent/7566920845.html,Surrey,1,,1450
42,2022-12-10 13:10,3 Bedroom 2 Bathroom Large Upstairs Suites (Not Full House/No Garage),https://vancouver.craigslist.org/rds/apa/d/surrey-north-bedroom-bathroom-large/7561674380.html,Surrey,3,1130.0,2900
43,2022-12-10 13:05,Newly renovated luxury suite,https://vancouver.craigslist.org/rds/apa/d/white-rock-newly-renovated-luxury-suite/7566916702.html,delta/surrey/langley,1,716.0,2195
