,Post Datetime,Post Title,Post URL,Neighborhood,Bedroom,SQFT,Price
0,2022-12-10 17:26,Three bedroom concrete condo in Vancouver West,https://vancouver.craigslist.org/van/apa/d/vancouver-three-bedroom-concrete-condo/7566999151.html,7638 Cambie Street,3,1100.0,4300
1,2022-12-10 17:26,Furnished 1 bedroom condo (2 beds w/ 1 spare bed in living room),https://vancouver.craigslist.org/van/apa/d/vancouver-furnished-bedroom-condo-beds/7558347277.html,UBC campus,1,750.0,2800
2,2022-12-10 17:22,Furnished All Inclusive-Parking-Solarium-1 GB WI-FI-Coal Harbour,https://vancouver.craigslist.org/van/apa/d/vancouver-furnished-all-inclusive/7565082249.html,"Coal Harbor, Vancouver BC",1,588.0,3950
3,2022-12-10 17:14,"1 bed 1 bath at Keefer Block, pet friendly!",https://vancouver.craigslist.org/van/apa/d/vancouver-bed-bath-at-keefer-block-pet/7566996408.html,city of vancouver,,,2300
4,2022-12-10 17:13,1 BEDROOM SUITE IN CHARACTER HOUSE,https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-suite-in-character/7566996236.html,Commercial Drive Area,1,550.0,1650
5,2022-12-10 17:13,2 bed 2 bath VIEW condo by VGH in Fairview,https://vancouver.craigslist.org/van/apa/d/vancouver-bed-bath-view-condo-by-vgh-in/7557088556.html,Vancouver,2,900.0,3600
6,2022-12-10 17:13,Spectacular Basement Suite UBC Campus,https://vancouver.craigslist.org/van/apa/d/vancouver-spectacular-basement-suite/7562953940.html,UBC,,400.0,1850
7,2022-12-10 17:13,Spacious Furnished Two Bedroom Bedroom Suite,https://vancouver.craigslist.org/van/apa/d/vancouver-spacious-furnished-two/7561107055.html,26xx W. King Edward Ave.,2,1350.0,2500
8,2022-12-10 17:13,Fabulous 1BR/1bath + Loft Condo,https://vancouver.craigslist.org/van/apa/d/vancouver-fabulous-1br-1bath-loft-condo/7561444345.html,Fairview,1,830.0,2950
9,2022-12-10 17:13,Quilchena Two Bedroom Basement Suite,https://vancouver.craigslist.org/van/apa/d/vancouver-quilchena-two-bedroom/7562470456.html,19xx Quilchena Crescent,2,1000.0,2500
